ID,As,Cd,Cr,Cu,Hg,Ni,Pb,Zn,stats
1,7.84,153.8,44.31,20.56,266,18.2,35.38,72.35,4
2,5.93,146.2,45.05,22.51,86,17.2,36.18,94.59,4
3,4.9,439.2,29.07,64.56,109,10.6,74.32,218.37,4
4,6.56,223.9,40.08,25.17,950,15.4,32.28,117.35,2
5,6.35,525.2,59.35,117.53,800,20.2,169.96,726.02,4
6,14.08,1092.9,67.96,308.61,1040,28.2,434.8,966.73,2
7,8.94,269.8,95.83,44.81,121,17.8,62.91,166.73,4
10,8.72,267.1,65.56,29.65,63,21.7,36.94,100.41,4
11,5.93,201.4,45.19,24.9,259,14.6,35.88,102.65,5
12,9.17,287,43.94,45.77,168,19.7,62.74,223.16,1
13,5.72,193.7,80.35,26.57,111,19.8,57.64,89.08,1
14,4.49,359.5,258.15,123.27,77,12.9,106.47,853.98,4
15,5.51,516.4,91.97,89.04,189,19.8,121.72,494.8,4
16,11.45,1044.5,94.78,136.97,202,22.3,472.48,602.04,1
17,6.14,445.4,82.69,167.39,144,18.4,111.24,389.8,4
18,7.84,347.9,57.65,97.14,213,19.6,70.82,307.24,1
19,7.41,345.7,159.45,71.03,85,18.1,89.34,380.92,4
21,5.51,257.2,54.64,29.01,104,13.2,87.68,223.27,1
23,9.39,325.8,172.29,104.89,82,31.5,90.9,429.29,1
24,3.3,212.1,50.13,38.62,139,10.6,66.98,186.22,5
25,4.09,90.5,35.02,11.82,16,10.4,29.09,46.84,1
26,6.14,583.4,95.25,233.7,155,21.1,97.47,311.02,4
27,5.31,366.4,42.34,64.65,188,17.4,67.11,182.65,4
28,3.69,323.9,35.14,34.66,50,13.9,65.48,253.16,4
29,21.87,424.5,73.4,59.72,1520,27.8,83.7,175.71,2
31,10.53,635.3,64.03,101.35,190,28.3,162.64,615.1,2
32,3.5,463.4,112.19,72.93,118,14.1,60.6,193.37,4
33,6.35,532,57.51,83.76,191,19.5,73.46,297.14,1
34,5.51,778.7,74.66,92.48,330,19.7,110.2,351.63,4
35,4.49,754.8,99.88,97.92,243,24.9,100.79,323.37,4
37,5.51,687.8,85.52,72.85,201,19,103.2,403.27,4
38,4.29,526,55.31,81.43,93,19.9,100.65,369.8,4
39,4.29,449.1,67.22,51.64,315,15.7,106.97,294.69,1
40,6.56,852.7,72.59,158.67,311,21.2,124.24,377.14,4
41,16.58,459,94.79,47.17,1900,19.9,71.32,215.1,4
42,7.41,337.3,77.27,248.85,90,20.1,99.58,210,1
43,5.93,568.1,75.14,118.16,135,23.8,111.54,572.96,4
44,4.69,599,69.05,122.18,121,19.8,102.72,427.04,4
45,4.9,635.5,68.42,227.76,176,19.5,96.33,538.98,4
46,5.31,600.7,44.65,45.1,51,15.5,65.87,186.33,4
47,4.29,567.6,60.25,48.67,46,16.1,63.74,208.06,4
48,5.51,228.5,49.27,30.85,62,22.9,45.93,102.04,4
49,4.69,568.6,306.02,70.41,900,16.8,79.67,196.73,4
50,7.2,214.7,50.33,40.16,156,20.8,47.76,403.98,4
51,5.31,151.9,47.24,24.44,140,17.3,37.49,92.55,4
52,4.9,343.3,42.01,58.81,80,13.8,79.07,275.82,4
53,4.9,293.9,60.29,51.03,53,12.6,75.93,278.37,4
54,3.89,312.9,33.79,277.82,55,14,68.24,295.61,4
55,3.69,315.9,45.43,34.05,55,12.6,62.84,196.33,4
56,3.11,416.3,57.88,47.64,167,11.9,116.19,242.04,4
57,3.89,374,45.17,50.19,35,15,58.11,157.35,4
58,3.89,344.3,35.29,47.87,100,15.1,133.72,141.02,4
59,2.91,252.9,45.98,71.54,32.14,14.4,42.99,146.22,4
60,3.3,503.4,38.74,30.46,36.43,7.2,53.73,102.86,4
62,4.09,127,27.58,23.99,30,11.93,57.47,85.61,3
63,2.91,265,35.66,29.39,24.64,9.23,60.54,122.96,1
64,2.72,278.9,43.43,32.61,64.29,9.9,53.4,135.71,4
65,3.11,751.2,53.11,53.8,27.86,10.46,60.27,155,4
66,3.3,361.3,47.54,52.28,25.71,9.11,113.46,218.27,4
67,3.3,488,51.18,34.55,37.5,10.8,54.62,125.92,1
68,6.14,227,42.15,67.04,49.29,16.31,34.28,82.96,1
69,3.69,347.4,37.76,19.97,26.79,10.01,54.41,221.22,5
70,4.49,136,36.56,23.07,21.43,14.96,34.19,78.98,5
71,3.11,327.1,25.98,23.73,25.71,9.79,63.81,138.06,4
72,8.06,113.1,52.4,20.81,65.36,19.69,29.56,62.24,1
73,3.69,270.5,33.12,57.85,25.71,13.5,62.04,118.16,4
74,3.69,160.3,38.29,26.08,25.71,14.29,40.13,82.86,5
75,3.5,305.5,39.5,30.86,31.07,14.74,61.89,148.88,4
76,2.72,70.9,19.45,9.12,15,7.09,22.73,32.86,3
77,8.5,261.3,45.97,24.83,51.43,18,43.39,84.49,4
78,1.77,119.8,15.32,13.34,8.57,6.19,26.31,47.76,4
79,2.53,468.8,37.04,32.03,45,12.15,65.25,178.98,4
80,3.69,150.7,59.61,19,34.29,24.98,38.47,89.08,3
81,6.14,100.3,37.49,20.23,34.29,14.85,29.29,61.94,3
82,10.99,109.8,56.07,69.06,58.93,20.7,38.87,63.27,3
83,6.35,91.8,36.12,16.91,36.43,12.49,27.01,47.76,4
84,30.13,743.9,49.03,26.18,27.86,17.66,72.76,182.04,4
85,3.89,416.8,37.04,23.78,22.5,11.48,54.45,105,4
86,2.91,369.8,36.34,52.48,22.5,7.99,42.02,84.08,4
87,1.96,194,18.08,16.17,26.79,6.98,40.27,94.69,4
88,6.98,50.1,41.02,14.25,17.14,13.39,26.57,40.92,4
89,2.91,198.8,28.21,19.24,13.93,9.56,47.81,94.8,4
90,5.93,886.6,42.69,28.12,43.93,21.15,94.64,163.27,4
91,5.93,128.9,47.52,16.31,12.86,17.66,33.51,91.73,4
92,7.41,114.3,48.34,21.45,35.36,16.54,35.83,63.88,3
93,4.29,232.9,29.17,40.02,1714.29,9.79,38.65,95.41,4
94,4.69,132.8,36.11,17.28,20.36,15.53,37.03,82.76,1
96,6.77,282.5,41.97,52.8,27.86,18.34,49.1,104.9,4
97,4.49,180.6,37.23,18.7,27.86,11.93,36.45,63.98,4
98,3.11,386.6,35.93,26.38,24.64,12.26,60,157.24,4
99,2.91,345,40.46,152.21,23.57,15.53,58.05,170.71,4
100,4.29,95.6,22.49,17.15,85.71,10.13,27.97,67.24,3
101,7.63,87.1,45.83,14.83,30,14.63,29.25,48.78,3
102,5.93,203,35.97,16.88,15,14.51,45.83,89.49,4
103,2.34,353,24.53,12.7,11.79,9,58.8,89.08,2
104,2.91,233.2,24.92,21.62,85.71,8.33,45.2,100.1,3
105,5.72,174.3,33.83,29.45,20.36,13.05,42.1,71.43,4
106,2.34,87.6,18.46,9.73,13.93,8.89,24.43,43.37,1
107,6.56,245.6,36.73,61.3,55.71,14.18,47.24,114.29,1
108,4.69,167.9,33.15,18.96,60,15.98,33.46,55.71,3
109,6.35,111.4,28.82,59.17,206.79,11.7,28.02,61.53,3
110,5.1,94.6,77.92,20.34,23.57,28.69,25.92,58.47,3
111,4.69,111.6,24.57,12.09,31.07,8.55,27.12,43.88,3
112,3.5,85.5,26.33,24.88,36.43,11.36,26.77,64.08,3
113,4.69,169.5,39.11,22.51,25.71,15.98,39.53,82.96,4
114,4.49,138,34.52,35.54,50.36,12.6,25.45,52.45,3
115,3.3,131.4,35.97,11.29,43.93,11.03,30.06,61.94,3
116,2.91,41,41.77,12.5,17.14,17.1,19.68,78.37,3
117,4.09,129.7,26.83,10.12,40.71,7.76,28.84,68.16,3
118,5.72,148,36.73,14.21,52.5,12.6,27.15,57.86,4
119,4.9,108.1,22.72,9.4,35.36,8.89,32.39,69.39,3
120,4.9,132.5,79.52,18.67,42.86,27.68,28.3,92.24,3
121,4.09,162.9,33.79,12.96,30,12.94,29.17,74.9,3
122,5.93,88.8,52.41,15.3,10.71,19.91,28.62,63.88,3
123,2.91,206.7,17.46,12.02,31.07,5.51,53.79,79.18,3
124,2.72,121.8,19.98,7.71,24.64,8.1,27.3,57.96,3
125,2.34,231.1,36.48,12.8,37.5,17.66,29.02,96.53,3
