学历,招聘人数,年收入
硕士,5,5
博士,1,12
硕士,5,6
硕士,2,6
不限,2,6
不限,2,6
不限,2,6
本科,2,4
不限,20,10
不限,3,5
不限,2,5
不限,2,10
不限,2,5
硕士,2,10
博士,2,12
本科,5,20
博士,2,30
本科,6,7.2
本科,2,6
本科,5,10
不限,3,6
不限,2,8
本科,2,15
不限,1,10
不限,2,15
不限,1,10
不限,1,15
不限,5,10
不限,2,10
不限,10,15
硕士,2,7
本科,5,5
本科,5,4
博士,1,7
本科,20,10
本科,1,15
不限,1,30
本科,1,100
不限,1,14
不限,1,40
硕士,1,50
本科,1,14
博士,5,20
本科,10,10
硕士,2,10
硕士,1,20
硕士,6,10
硕士,2,30
博士,2,20
硕士,1,20
不限,3,20
不限,1,15
硕士,5,30
博士,5,20
本科,1,10
不限,2,12
不限,1,6
不限,1,20
不限,1,10
不限,1,10
硕士,2,15
不限,2,15
不限,1,20
博士,1,30
硕士,1,30
博士,1,30
本科,1,10
本科,2,9
不限,2,8
不限,1,8
本科,10,6
不限,4,5
不限,1,8
不限,5,6
本科,2,10
本科,5,15
本科,40,4
博士,1,20
本科,2,10
不限,2,8
不限,2,10
本科,3,30
不限,2,30
博士,1,30
硕士,1,18
本科,10,5
本科,2,10
硕士,10,10
本科,1,10
本科,2,8
不限,2,10
不限,2,7
不限,1,8
本科,10,7
硕士,1,10
本科,2,6
本科,6,8
博士,2,40
硕士,2,20
硕士,1,50
本科,5,25
本科,4,10
不限,2,8
不限,2,10
硕士,2,10
本科,1,5
不限,2,6
不限,1,4
不限,2,4
不限,3,4
本科,3,8
本科,1,9
硕士,3,8
本科,2,10
本科,5,8
本科,5,8
本科,5,8
不限,1,6
不限,1,8
博士,1,30
本科,1,20
不限,1,30
硕士,3,20
不限,5,50
不限,2,20
不限,10,15
博士,5,20
本科,2,6
硕士,2,9.6
博士,1,20
博士,1,40
硕士,5,15
不限,5,12
本科,50,12.6
硕士,3,7.2
硕士,30,7.8
本科,5,6.84
博士,1,30
硕士,2,15
博士,1,30
硕士,3,6
博士,1,20
不限,1,12
不限,1,12
不限,1,20
不限,1,60
本科,1,7
不限,1,7
不限,2,5
不限,2,5
不限,2,5
不限,5,5
不限,1,7
本科,1,10
不限,1,6
硕士,1,20
硕士,2,10
硕士,2,8
硕士,40,6
本科,2,7
不限,3,5
不限,3,4
不限,3,6
不限,6,5
硕士,1,5
本科,1,4
硕士,2,5
硕士,1,50
博士,1,100
本科,3,5
本科,5,5
本科,2,4
硕士,2,5
博士,1,10
硕士,2,6
硕士,3,7
不限,1,5.4
不限,2,5.8
本科,3,4.2
不限,3,5
不限,1,5
博士,1,10
本科,3,5
硕士,3,12
硕士,3,6
博士,2,10
本科,10,5
本科,15,5
本科,10,5
硕士,1,10
不限,1,15
本科,1,5
本科,2,4
博士,1,30
硕士,2,10
本科,1,6
硕士,1,7
硕士,3,15
不限,2,10
不限,2,8
博士,1,12
博士,2,10
本科,2,10
本科,1,20
本科,1,20
硕士,2,10
博士,1,15
博士,2,12
不限,2,6
硕士,1,4
本科,1,12
不限,1,20
不限,1,20
不限,1,10
博士,1,30
硕士,3,15
博士,5,15
本科,1,10
硕士,1,12
不限,2,8
不限,1,10
不限,2,8
不限,2,10
本科,1,10
硕士,1,10
博士,3,20
本科,2,30
本科,2,8
不限,1,10
不限,1,8
硕士,5,7.2
博士,2,20
硕士,1,10
硕士,10,10
本科,3,6
不限,5,6
不限,5,6
不限,10,7
硕士,1,12
硕士,5,40
不限,3,50
不限,5,40
不限,5,40
不限,3,50
不限,3,40
不限,3,30
本科,20,6
博士,4,10
本科,1,5
本科,2,5
硕士,1,8
硕士,1,10
本科,4,6.3
本科,2,8
硕士,2,9
博士,1,10
博士,2,12
博士,1,8
博士,1,20
博士,1,20
博士,10,20
本科,1,4
本科,2,4
本科,2,4
不限,2,5
本科,2,9
硕士,1,7
硕士,1,12
硕士,2,12
硕士,1,10
本科,15,4.5
本科,2,8
本科,2,10
本科,10,5
硕士,5,6
博士,1,12
硕士,5,6
硕士,2,6
本科,20,10
本科,2,10
硕士,2,10
博士,2,12
博士,2,30
本科,2,6
本科,5,10
不限,3,6
不限,2,8
本科,2,15
不限,1,10
不限,2,15
不限,1,10
不限,1,15
不限,5,10
不限,2,10
不限,10,15
硕士,2,7
博士,1,7
本科,20,10
本科,1,15
本科,1,30
本科,1,100
不限,1,14
不限,1,40
硕士,1,50
本科,1,14
博士,5,20
本科,10,10
硕士,2,10
硕士,1,20
硕士,6,10
硕士,2,30
博士,2,20
硕士,1,20
不限,3,20
不限,1,15
硕士,5,30
博士,5,20
本科,1,10
不限,2,12
不限,1,20
不限,1,10
不限,1,10
硕士,2,15
不限,2,15
不限,1,20
博士,1,30
本科,1,10
本科,2,9
本科,2,8
本科,10,6
不限,1,8
不限,5,6
本科,2,10
本科,5,15
博士,1,20
本科,2,10
不限,2,8
不限,2,10
本科,3,30
博士,1,30
硕士,1,18
本科,2,10
硕士,10,10
本科,1,10
本科,2,10
本科,2,8
不限,2,10
不限,1,8
本科,10,7
硕士,1,10
本科,6,8
本科,4,8
博士,2,40
硕士,2,20
硕士,1,50
本科,5,25
本科,4,10
本科,2,8
本科,2,10
硕士,2,10
本科,3,8
本科,1,9
硕士,3,8
本科,2,10
本科,5,8
本科,5,8
本科,5,8
博士,1,30
本科,1,20
不限,1,30
硕士,3,20
不限,5,50
不限,2,20
不限,10,15
博士,10,20
硕士,2,9.6
博士,1,20
博士,1,40
