答卷编号,Q1_性别,Q2_您所在的城市是_省份,Q2_您所在的城市是_城市,Q2_您所在的城市是_区/县,Q3_工作年限,Q4_个人月收入,Q5_基础设施建设,"Q6_生态环境(包括城市绿化,城市景观生态文明等)",Q7_治安环境,Q8_产业发展,Q9_企业条件,Q10_职业发展,Q11_收入水平,Q12_住房条件,Q13_户籍政策,Q14_配偶就业,Q15_子女教育,Q16_生活成本,Q17_交通状态,Q18_休闲娱乐,Q19_请问您的主要职业或者毕业之后将要成为的主要职业是什么,Q20_请问你觉得济南这座城市对您是否有吸引力呢
1,男,北京市,北京市,石景山区,1年及以下,20000元以上,非常能够,比较能够,非常能够,比较能够,非常能够,非常能够,非常能够,非常能够,非常能够,比较能够,非常能够,非常能够,非常能够,非常能够,管理人员,很不喜欢
2,男,陕西省,西安市,未央区,1年及以下,2000元及以下,比较能够,比较能够,比较能够,比较能够,比较能够,比较能够,比较能够,比较能够,比较能够,比较能够,比较能够,比较能够,比较能够,比较能够,其他,一般
3,男,山东省,济宁市,汶上县,2-3年,3001-5000元,非常能够,非常能够,非常能够,非常能够,非常能够,比较能够,非常能够,非常能够,一般,比较能够,比较能够,非常能够,非常能够,一般,管理人员,有较强的吸引力
4,男,广东省,深圳市,南山区,10年及以上,20000元以上,非常能够,非常能够,非常能够,非常能够,非常能够,非常能够,非常能够,非常能够,非常能够,非常能够,非常能够,非常能够,非常能够,非常能够,技术研发人才,一般
5,女,山东省,济南市,历城区,1年及以下,2000元及以下,不能够,不能够,不能够,一般,一般,比较能够,一般,一般,一般,比较能够,比较能够,一般,不能够,一般,金融从业者,一般
6,男,山东省,济南市,长清区,1年及以下,3001-5000元,比较能够,比较能够,非常能够,非常能够,非常能够,非常能够,非常能够,非常能够,非常能够,非常能够,非常能够,非常能够,非常能够,非常能够,技术研发人才,有较强的吸引力
7,男,山东省,济南市,天桥区,1年及以下,5001-8000元,比较能够,比较能够,比较能够,比较能够,比较能够,比较能够,比较能够,比较能够,比较能够,比较能够,比较能够,比较能够,比较能够,比较能够,技术研发人才,有较强的吸引力
8,男,山东省,济南市,天桥区,1年及以下,2000元及以下,不能够,不能够,不能够,非常能够,非常能够,非常能够,非常能够,非常能够,非常能够,一般,比较能够,非常能够,比较能够,一般,金融从业者,有较强的吸引力
9,男,四川省,广安市,邻水县,1年及以下,2000元及以下,不能够,不能够,不能够,不能够,不能够,不能够,不能够,不能够,不能够,不能够,不能够,不能够,不能够,不能够,其他,很不喜欢
10,女,山东省,青岛市,市北区,10年及以上,5001-8000元,比较能够,不能够,比较能够,不能够,不能够,不能够,不能够,不能够,不能够,不能够,不能够,一般,一般,一般,管理人员,一般
11,男,辽宁省,大连市,旅顺口区,1年及以下,2000元及以下,不能够,不能够,不能够,不能够,不能够,不能够,不能够,不能够,不能够,不能够,不能够,不能够,不能够,不能够,技术研发人才,不作考虑
12,男,山东省,青岛市,黄岛区,1年及以下,2000元及以下,一般,一般,比较能够,比较能够,比较能够,比较能够,比较能够,比较能够,非常能够,比较能够,比较能够,非常能够,不能够,一般,技术研发人才,有较强的吸引力
13,男,江苏省,南京市,浦口区,1年及以下,2000元及以下,不能够,一般,一般,非常能够,非常能够,非常能够,非常能够,比较能够,比较能够,比较能够,非常能够,非常能够,非常能够,比较能够,技术研发人才,一般
14,男,山东省,临沂市,平邑县,2-3年,3001-5000元,比较能够,比较能够,比较能够,非常能够,非常能够,非常能够,非常能够,非常能够,非常能够,非常能够,非常能够,非常能够,非常能够,非常能够,管理人员,一般
15,男,山东省,菏泽市,巨野县,1年及以下,2001-3000元,非常能够,非常能够,非常能够,非常能够,非常能够,比较能够,非常能够,一般,比较能够,一般,比较能够,一般,一般,非常能够,管理人员,一般
16,男,浙江省,宁波市,慈溪市,1年及以下,2000元及以下,不能够,比较能够,不能够,一般,一般,不能够,非常能够,非常能够,非常能够,非常能够,非常能够,非常能够,比较能够,一般,技术研发人才,不作考虑
17,男,北京市,北京市,海淀区,1年及以下,2000元及以下,不能够,一般,一般,一般,一般,一般,一般,比较能够,比较能够,一般,一般,一般,一般,一般,其他,不作考虑
18,女,山东省,济南市,历下区,1年及以下,2000元及以下,一般,比较能够,一般,比较能够,比较能够,一般,比较能够,比较能够,一般,比较能够,非常能够,一般,不能够,比较能够,教育科研,不作考虑
20,女,山东省,青岛市,市南区,6-9年,5001-8000元,一般,一般,一般,一般,一般,一般,不能够,不能够,不能够,不能够,不能够,不能够,不能够,不能够,技术研发人才,很不喜欢
21,男,山东省,济南市,历下区,1年及以下,2001-3000元,比较能够,比较能够,非常能够,非常能够,比较能够,一般,比较能够,非常能够,一般,比较能够,非常能够,一般,一般,比较能够,技术研发人才,有较强的吸引力
22,女,广东省,广州市,越秀区,6-9年,20000元以上,一般,一般,一般,一般,一般,一般,一般,一般,一般,一般,一般,一般,不能够,不能够,技工人才,一般
23,男,山东省,济南市,市中区,6-9年,20000元以上,不能够,不能够,一般,一般,一般,一般,非常能够,一般,不能够,比较能够,比较能够,一般,不能够,不能够,医疗,很不喜欢
24,女,辽宁省,葫芦岛市,龙港区,1年及以下,2000元及以下,一般,一般,一般,一般,一般,不能够,比较能够,比较能够,一般,不能够,不能够,不能够,一般,比较能够,技术研发人才,一般
25,男,山东省,潍坊市,寿光市,1年及以下,2000元及以下,非常能够,比较能够,比较能够,非常能够,非常能够,非常能够,非常能够,非常能够,比较能够,非常能够,非常能够,非常能够,比较能够,比较能够,其他,很不喜欢
26,男,河南省,驻马店市,正阳县,1年及以下,12001-20000元,一般,一般,比较能够,比较能够,比较能够,比较能够,非常能够,非常能够,非常能够,非常能够,非常能够,非常能够,非常能够,非常能够,技术研发人才,一般
27,男,四川省,成都市,郫都区,1年及以下,2000元及以下,一般,比较能够,比较能够,一般,一般,比较能够,比较能够,比较能够,比较能够,比较能够,比较能够,比较能够,不能够,一般,金融从业者,一般
28,男,山东省,济南市,历城区,10年及以上,8001-12000元,一般,比较能够,比较能够,一般,一般,比较能够,一般,比较能够,一般,一般,比较能够,一般,一般,一般,技工人才,一般
29,男,山东省,济南市,历下区,1年及以下,8001-12000元,一般,一般,一般,一般,一般,不能够,不能够,不能够,一般,一般,一般,不能够,不能够,不能够,技术研发人才,一般
30,男,山东省,滨州市,滨城区,1年及以下,2000元及以下,比较能够,非常能够,非常能够,非常能够,非常能够,非常能够,非常能够,非常能够,非常能够,非常能够,非常能够,非常能够,非常能够,非常能够,教育科研,有较强的吸引力
31,男,山东省,菏泽市,曹县,4-5年,2001-3000元,比较能够,非常能够,非常能够,非常能够,一般,一般,一般,一般,一般,比较能够,非常能够,比较能够,一般,比较能够,管理人员,一般
