Time,HP
2013-05,20231
2013-06,19783
2013-07,19271
2013-08,20076
2013-09,19703
2013-10,20130
2013-11,19371
2013-12,19465
2014-01,20230
2014-02,19566
2014-03,19095
2014-04,18821
2014-05,19199
2014-06,18911
2014-07,18760
2014-08,18475
2014-09,18562
2014-10,18312
2014-11,18208
2014-12,17913
2015-01,18476
2015-02,18074
2015-03,18350
2015-04,17750
2015-05,18494
2015-06,18389
2015-07,17912
2015-08,17271
2015-09,17170
2015-10,16456
2015-11,17206
2015-12,18298
2016-01,18508
2016-02,18234
2016-03,18077
2016-04,17813
2016-05,18019
2016-06,18017
2016-07,17659
2016-08,17982
2016-09,18579
2016-10,19747
2016-11,20478
2016-12,19033
2017-01,20246
2017-02,22169
2017-03,22586
2017-04,25743
2017-05,26519
2017-06,26168
2017-07,27137
2017-08,28045
2017-09,29379
2017-10,30690
2017-11,31386
2017-12,33998
2018-01,35417
2018-02,34931
2018-03,37580
2018-04,36663
2018-05,35679
