炉号,C_Yield_true,C_Yield_predict
7A06878             ,0.8836379778973683,0.874677
7A06877             ,0.9202693125442948,0.90749466
7A06876             ,0.9671530951391774,0.9622934
7A06875             ,0.9096800997091816,0.900517
7A06874             ,0.9324470294972996,0.9293492
7A06873             ,0.9133516825924388,0.90876114
7A06872             ,0.9061044176706828,0.9176898
7A06871             ,0.9104694640631492,0.9034492
7A06870             ,0.8923478725026688,0.8947153
7A06869             ,0.8799893120870578,0.8710201
7A06868             ,0.8597548087085182,0.85520387
7A06867             ,0.7580349330282022,0.7923479
7A06866             ,0.8764469643278998,0.8827275
7A06864             ,0.8392121116043119,0.84926915
7A06862             ,0.7906626506024096,0.81205404
7A06861             ,0.8656927710843373,0.84600496
7A06860             ,0.732073749543629,0.758603
7A06859             ,0.7821694943037455,0.7810042
7A06858             ,0.7674440091654963,0.8066538
7A06857             ,0.7471914685770108,0.7554357
7A06856             ,0.8089305273040213,0.8277283
7A06855             ,0.7773742026931254,0.7819465
7A06854             ,0.8433734939759038,0.84155124
7A06853             ,0.8500294885837053,0.8468601
7A06852             ,0.7465391366791669,0.7519611
7A06851             ,0.7778112449799196,0.7722212
7A06850             ,0.8413793103448277,0.84594107
7A06849             ,0.8683929265448892,0.8782706
7A06848             ,0.8612945018968339,0.86158144
7A06847             ,0.8392794478886418,0.845961
7A06846             ,0.902495925345946,0.8984574
7A06845             ,0.8912924424972617,0.9076444
7A06836             ,0.9687889488990444,0.95157933
7A06835             ,0.9083662235147486,0.9152796
7A06834             ,0.8901212959947901,0.88934034
7A06833             ,0.8988896763524686,0.89337355
7A06832             ,0.8054784071350337,0.8388577
7A06829             ,0.9211297243769598,0.9218081
7A06828             ,0.9079767345243042,0.8881192
7A06827             ,0.906265687751004,0.9188771
7A06826             ,0.8807146393794356,0.88808
7A06825             ,0.8849096385542168,0.8796128
7A06824             ,0.9301742685025818,0.9179952
7A06823             ,0.9180648650941796,0.90225035
7A06822             ,0.9503749262785406,0.94062835
7A06821             ,0.9471550585905264,0.9439753
7A06820             ,0.9222644000660174,0.91772205
7A06819             ,0.8938510892886614,0.91083753
7A06818             ,0.921124497991968,0.9356348
7A06817             ,0.8974173721914686,0.8880962
7A06816             ,0.9042250081406707,0.90069985
7A06815             ,0.9073026801081876,0.9134773
7A06814             ,0.8897944720056696,0.89340186
7A06813             ,0.9033584337349396,0.8963832
7A06812             ,0.901504105594352,0.9015088
7A06811             ,0.9247623611328432,0.9175182
7A06810             ,0.8091767068273091,0.8364153
7A06809             ,0.8800917957544463,0.88207173
7A06808             ,0.8912361775870606,0.87884814
7A06807             ,0.8692771084337348,0.87927854
7A06805             ,0.8845582329317269,0.87986386
7A06804             ,0.8399096385542169,0.8294964
7A06802             ,0.9661587526576896,0.9568212
7A06801             ,0.8359181760153194,0.8231224
7A06800             ,0.8877665266328473,0.8860603
7A06799             ,0.8860250889489516,0.8774867
7A06798             ,0.8823443775100401,0.907205
7A06797             ,0.8938876525209116,0.9180243
7A06796             ,0.8582056934362053,0.86106074
7A06795             ,0.8974511909022227,0.9002739
7A06794             ,0.8866452467172058,0.8781399
7A06793             ,0.9393987051975252,0.9388288
7A06792             ,0.9126307863031072,0.895852
7A06791             ,0.9024923222300968,0.9111394
7A06790             ,0.8861658955612752,0.8833857
7A06789             ,0.8718103729350392,0.87336206
7A06788             ,0.8853548910668579,0.89017296
7A06787             ,0.9631849315068493,0.9372764
7A06786             ,0.8768627140139506,0.88471174
7A06785             ,0.9063575731497416,0.90206826
7A06784             ,0.8915763726045118,0.88462204
7A06783             ,0.8975499312686989,0.89562315
7A06782             ,0.8913203835751167,0.88867
7A06781             ,0.8762381741732028,0.88242954
7A06780             ,0.9163253012048194,0.91156167
7A06779             ,0.8936624877889938,0.8908667
7A06778             ,0.9039513316423591,0.9258509
7A06777             ,0.898531626506024,0.88876486
7A06776             ,0.7674510542168673,0.7715276
7A06775             ,0.8911213033953999,0.8877238
7A06774             ,0.8369310575635877,0.86078304
7A06773             ,0.8918550915992739,0.8989944
7A06772             ,0.9023947904293228,0.9010141
7A06771             ,0.9247972281281988,0.904582
7A06770             ,0.8110973304984644,0.8192121
7A06769             ,0.8883697039814888,0.9134835
7A06768             ,0.9040251916757942,0.90551764
7A06766             ,0.7714357429718874,0.7805475
7A06765             ,0.8837349397590362,0.910295
7A06763             ,0.9284738955823292,0.9203506
7A06761             ,0.9378714859437752,0.92952025
7A06760             ,0.8734839357429719,0.8976173
7A06759             ,0.8626305220883536,0.8822108
7A06758             ,0.8769908400726193,0.87826324
7A06757             ,0.8879630297637656,0.8905411
7A06756             ,0.8839965123652503,0.8819504
7A06755             ,0.8747506322552269,0.8745529
7A06754             ,0.8313096338540116,0.83449066
7A06753             ,0.8898684589683882,0.9106147
7A06752             ,0.8908277769833042,0.8909028
7A06751             ,0.94318795650438,0.9341537
7A06750             ,0.9438980411441684,0.91478014
7A06749             ,0.8914019894076634,0.88434255
7A06748             ,0.9060002385780748,0.90473664
7A06747             ,0.8918674698795179,0.8857834
7A06746             ,0.9290328957154153,0.9178635
7A06745             ,0.8931736662123859,0.90116656
7A06743             ,0.9210635646032406,0.9210514
7A06742             ,0.8595180722891568,0.8774487
7A06741             ,0.9158599916909016,0.87255514
7A06740             ,0.8997922725384295,0.90419424
7A06739             ,0.8579144162858331,0.8603554
7A06738             ,0.8694236405079779,0.8697876
7A06737             ,0.8162442874948067,0.8452389
7A06736             ,0.8754700329982349,0.87168837
7A06735             ,0.8570325606222357,0.86081755
7A06734             ,0.8734558487113008,0.87158823
7A06733             ,0.85967082616179,0.8709441
7A06732             ,0.7942007757055621,0.8016701
7A06731             ,0.8056634432466708,0.8317727
7A06729             ,0.8948116409299169,0.8984183
7A06728             ,0.9414780833861764,0.93144166
7A06727             ,0.8501132188327779,0.8474585
7A06726             ,0.8935082435003171,0.88987505
7A06725             ,0.9344974836053072,0.92113614
7A06724             ,0.9142437095320056,0.9283268
7A06723             ,0.9286877238684468,0.9339464
7A06722             ,0.9343624497991968,0.92163926
7A06721             ,0.8567199833818031,0.8916581
7A06720             ,0.9106142881384696,0.9225253
7A06719             ,0.910598379433226,0.90844834
7A06717             ,0.9604130808950084,0.9420105
7A06716             ,0.9033634538152612,0.9213948
7A06715             ,0.9263303212851404,0.927279
7A06714             ,0.9178432479919676,0.90641016
7A06713             ,0.8785768072289155,0.8634352
7A06711             ,0.9062842278203724,0.91148317
7A06709             ,0.9124252110482748,0.9251581
7A06708             ,0.9555371485943776,0.894765
7A06707             ,0.9107680722891566,0.90019464
7A06703             ,0.9128868414835812,0.90400684
7A06701             ,0.8942667220606564,0.8871716
7A06700             ,0.9685292895720814,0.9462627
7A06699             ,0.9257228915662652,0.9004041
7A06698             ,0.8849899598393575,0.88576436
7A06697             ,0.9523680930619028,0.94277745
7A06696             ,0.9298712089738262,0.932303
7A06695             ,0.9256439551308684,0.9214207
7A06694             ,0.8901189172273509,0.88240325
7A06693             ,0.8907637127457197,0.8822788
7A06692             ,0.8846721344838815,0.88067317
7A06691             ,0.8374478305378376,0.8679663
7A06690             ,0.9080532656943564,0.891556
7A06687             ,0.9112306368330464,0.8972802
