炉号,钢号,转炉终点温度,转炉终点C,转炉终点Mn,转炉终点S,转炉终点P,转炉终点Si,钢水净重,连铸正样C,连铸正样Mn,连铸正样S,连铸正样P,连铸正样Si,连铸正样Ceq_val,连铸正样Cr,连铸正样Ni_val,连铸正样Cu_val,连铸正样V_val,连铸正样Alt_val,连铸正样Als_val,连铸正样Mo_val,氮化钒铁FeV55N11-A,低铝硅铁,钒氮合金(进口),钒铁(FeV50-A),钒铁(FeV50-B),硅铝钙,硅铝合金FeAl30Si25,硅铝锰合金球,硅锰面（硅锰渣）,硅铁(合格块),硅铁FeSi75-B,石油焦增碳剂,锰硅合金FeMn64Si27(合格块),锰硅合金FeMn68Si18(合格块),碳化硅(55%),硅钙碳脱氧剂,C_Yield,Mn_Yield,S_Yield
7A06878             ,HRB400B    ,1644,0.00065,0.0011,0.0003,0.00014,0.004,74400,0.0023,0.0133,0.0003,0.00018999999999999998,0.0033,0.466,0.0027,0.008,0.021,0.033,0.0052,0.0029,0.0026,0,0,10,0,32,25,0,0,0,0,0,85,1547,0,88,0,0.9134050902467444,0.8836379778973683,0.0
7A06876             ,HRB400B    ,1684,0.00035,0.0011,0.00023999999999999998,0.0002,0.004,78250,0.0023,0.013000000000000001,0.00027,0.00021,0.0035,0.46299999999999997,0.0034,0.009000000000000001,0.02,0.034,0.0052,0.0029,0.0028,0,0,4,0,40,75,0,0,0,0,0,90,0,1450,132,0,1.012027935851009,0.9671530951391774,7.543380462724947
7A06875             ,HRB400B    ,1674,0.00047999999999999996,0.0012,0.00036,0.0003,0.004,73600,0.0022,0.0131,0.00037999999999999997,0.00026000000000000003,0.0037,0.45399999999999996,0.0033,0.009000000000000001,0.023,0.033,0.0045,0.0023,0.004,0,0,4,0,40,50,0,0,0,0,0,85,0,1450,132,0,0.8672229301108418,0.9096800997091816,4.730077120822603
7A06874             ,HRB400B    ,1800,0.00036,0.0009,0.00028,0.00025,0.004,72400,0.0024,0.0133,0.00027,0.00025,0.0038,0.478,0.0037,0.01,0.019,0.034,0.0048,0.0026,0.0033,0,0,4,0,40,75,0,0,0,0,0,90,0,1450,132,0,0.9795853396474193,0.9324470294972995,-2.326478149100246
7A06873             ,HRB400B    ,1660,0.00022,0.0007,0.00037999999999999997,0.00014,0.004,70350,0.0023,0.0132,0.00035,0.00016999999999999999,0.0037,0.465,0.0027,0.009000000000000001,0.023,0.033,0.0041,0.0019,0.0034,0,0,4,0,40,75,0,0,0,0,0,90,0,1450,132,0,0.9705121572684946,0.9133516825924387,-6.781812339331613
7A06872             ,HRB400B    ,1654,0.0007,0.0012,0.0002,0.00013000000000000002,0.004,77800,0.0023,0.0128,0.00035,0.00028,0.0034,0.45799999999999996,0.003,0.008,0.02,0.032,0.0038,0.0016,0.0019,0,0,5,0,41,50,0,0,0,0,0,58,0,1500,132,0,1.029550787340032,0.9061044176706827,36.30989421281892
7A06871             ,HRB400B    ,1666,0.00063,0.0014,0.00025,0.00031,0.004,73050,0.0024,0.0134,0.00028,0.00026000000000000003,0.0038,0.478,0.003,0.009000000000000001,0.02,0.032,0.0044,0.0022,0.0029,0,0,4,0,40,50,0,0,0,0,0,80,0,1450,132,0,0.9158804029070508,0.9104694640631491,7.042095115681226
7A06870             ,HRB400B    ,1666,0.00106,0.0009,0.00022,0.00011999999999999999,0.004,74300,0.0022,0.0135,0.00031,0.00028,0.0038,0.46,0.003,0.008,0.02,0.034,0.0068,0.0044,0.0034,0,0,5,0,40,25,0,0,0,0,0,58,0,1580,132,0,0.6927795589871099,0.8923478725026688,19.83096085409253
7A06869             ,HRB400B    ,1658,0.00043,0.0011,0.00028,0.00021,0.004,74850,0.0024,0.0132,0.00028,0.00022,0.0036,0.474,0.0025,0.008,0.018000000000000002,0.033,0.005,0.0027,0.0022,0,0,5,0,41,75,0,0,220,0,0,85,0,1330,132,0,0.9984926572908053,0.8799893120870578,0.0
7A06868             ,HRB400B    ,1662,0.0005,0.0016,0.00022999999999999998,0.0003,0.004,81350,0.0023,0.0136,0.00022999999999999998,0.00033999999999999997,0.0037,0.47,0.0026,0.006999999999999999,0.015,0.031,0.0052,0.0029,0.0026,0,0,5,0,42,75,0,0,220,0,0,85,0,1490,132,0,0.9736024287201743,0.8597548087085182,0.0
