合金配料,C,Mn,S,P,Si,Al,Ca,V,N,价格(元/吨)
氮化钒铁FeV55N11-A,0,0,0,0,0,0,0,0.56,0.119,350000
低铝硅铁,0,0,0,0,0.74,0.0008,0,0,0,6500
钒氮合金(进口),0,0,0,0,0,0,0,0.78,0.151,350000
钒铁(FeV50-A),0.0031,0,0.0002,0.0006,0.012,0,0,0.512,0,205000
钒铁(FeV50-B),0.0031,0,0.0002,0.0006,0.012,0,0,0.512,0,205000
硅铝钙,0,0,0,0,0.341,0.091,0.148,0,0,11800
硅铝合金FeAl30Si25,0.00374,0,0,0,0.285,0.317,0,0,0,1000
硅铝锰合金球,0,0.3,0,0,0.3,0.4,0,0,0,8500
硅锰面（硅锰渣）,0.017,0.664,0.0002,0.0018,0.072,0,0,0,0,7600
硅铁(合格块),0.0006,0,0.0002,0.0004,0.767,0,0,0,0,6000
硅铁FeSi75-B,0.0006,0,0.0002,0.0004,0.767,0,0,0,0,6000
石油焦增碳剂,0.96,0,0,0,0,0,0,0,0,4600
锰硅合金FeMn64Si27(合格块),0.017,0.664,0.0002,0.0018,0.172,0,0,0,0,8150
锰硅合金FeMn68Si18(合格块),0.017,0.664,0.0002,0.0018,0.172,0,0,0,0,8150
碳化硅(55%),0.3,0,0.0001,0,0.56,,0,0,0,6100
硅钙碳脱氧剂,0.225692308,,,,0.392,,0.192307692,,,4000
